person_id,name,community_hint,prior_record
P001,Pooja Tiwari,north,1
P002,Harish Qureshi,north,0
P003,Anil Naik,north,1
P004,Harish Gaikwad,north,0
P005,Rajesh More,north,0
P006,Nitin Iyer,north,0
P007,Rajesh Naik,north,0
P008,Ashok Bhatia,north,1
P009,Chetan Deshmukh,north,0
P010,Vinod Patil,north,0
P011,Manoj Joshi,north,0
P012,Anil Verma,north,0
P013,Ashok Joshi,north,0
P014,Vikram Shaikh,north,0
P015,Farid Deshmukh,north,0
P016,Rajesh Kadam,north,0
P017,Manoj Bhosale,south,0
P018,Irfan More,south,0
P019,Ashok Khan,south,0
P020,Vikram Shaikh,south,1
P021,Gopal More,south,0
P022,Imran Shaikh,south,1
P023,Vinod Iyer,south,0
P024,Chetan Pawar,south,0
P025,Prakash Mehta,south,0
P026,Pooja Ansari,south,0
P027,Vikram Shetty,south,0
P028,Manoj Rao,south,0
P029,Ashok More,south,0
P030,Farid Patil,south,1
P031,Suresh Ansari,finance,0
P032,Pooja Gaikwad,finance,0
P033,Ashok Ansari,finance,0
P034,Rekha Bhatia,finance,0
P035,Meena Joshi,finance,0
P036,Ravi Bhosale,finance,0
P037,Imran Kadam,finance,0
P038,Irfan Gaikwad,finance,0
P039,Manoj Bhosale,finance,0
P040,Vikram Kadam,finance,0
P041,Sanjay Pawar,finance,0
P042,Anil Jadhav,finance,0
P043,Vikram Shetty,bridge,0
