phone_id,number,owner_id,activated
PH001,9771124923,P001,2025-07-21
PH002,9461536717,P002,2025-08-13
PH003,9429806690,P003,2025-11-23
PH004,9824305904,P004,2025-07-08
PH005,9379519112,P005,2025-08-02
PH006,9426288475,P006,2025-08-05
PH007,9999600766,P007,2025-09-18
PH008,8869401199,P008,2025-10-27
PH009,7783534128,P009,2025-08-06
PH010,9970407340,P010,2025-05-25
PH011,9495585469,P011,2025-05-25
PH012,9994120751,P012,2025-04-09
PH013,9920399639,P013,2025-12-10
PH014,9446468984,P014,2025-06-11
PH015,9728572252,P015,2025-03-08
PH016,7730509175,P016,2025-12-07
PH017,9765682626,P017,2025-07-11
PH018,9965804273,P018,2025-01-07
PH019,7762274692,P019,2025-10-23
PH020,9887267850,P020,2025-07-16
PH021,9857212267,P021,2025-05-25
PH022,7766240084,P022,2025-09-24
PH023,9475529051,P023,2025-04-09
PH024,7775181765,P024,2025-01-13
PH025,8899774697,P025,2025-11-26
PH026,7732151928,P026,2025-08-05
PH027,9862884503,P027,2025-10-19
PH028,9821267237,P028,2025-11-14
PH029,9371968116,P029,2025-03-02
PH030,9160882459,P030,2025-06-07
PH031,9953868501,P031,2025-06-25
PH032,7747346970,P032,2025-07-09
PH033,9773123515,P033,2025-01-24
PH034,9856970882,P034,2025-04-21
PH035,9797477029,P035,2025-01-25
PH036,9843189803,P036,2025-04-27
PH037,9893394260,P037,2025-03-08
PH038,9373560289,P038,2025-11-04
PH039,9472415804,P039,2025-12-09
PH040,8832520277,P040,2025-10-20
PH041,9731980274,P041,2025-05-04
PH042,9851870192,P042,2025-10-22
PH043,7763238057,P043,2025-12-07
PH044,9789470029,P044,2025-12-27
PH045,9423676961,P045,2025-12-25
PH046,9190585882,P046,2025-02-26
PH047,9856600900,P047,2025-09-14
PH048,8819255216,P048,2025-09-21
PH049,8811698142,P049,2025-07-27
PH050,9924165187,P050,2025-07-12
PH051,9930534124,P051,2025-07-06
PH052,9192666356,P052,2025-09-25
PH053,9972394301,P053,2025-07-27
PH054,9153258988,P054,2025-04-27
PH055,9747437115,P055,2025-08-08
PH056,9986483924,P056,2025-10-22
PH057,7755150390,P057,2025-01-16
PH058,8834406132,P058,2025-08-07
PH059,8844675473,P059,2025-06-09
PH060,9184597009,P060,2025-01-17
PH061,9421490777,P061,2025-04-24
PH062,7775575808,P062,2025-09-25
PH063,9473900135,P063,2025-11-23
PH064,9970152969,P064,2025-01-03
PH065,9139742165,P065,2025-07-23
PH066,9451098277,P066,2025-11-19
PH067,8873519947,P067,2025-09-17
PH068,8867110154,P068,2025-12-18
PH069,8857219209,P069,2025-12-15
PH070,9151154241,P070,2025-05-08
PH071,9735848226,P071,2025-06-04
PH072,9335708194,P072,2025-04-24
PH073,9947111151,P073,2025-12-19
PH074,9123492385,P074,2025-04-10
PH075,9458436637,P075,2025-03-10
PH076,9881690398,P076,2025-03-09
PH077,9817318358,P077,2025-09-10
PH078,9395613415,P078,2025-08-04
PH079,9887049595,P079,2025-05-16
PH080,9969118721,P080,2025-06-06
PH081,9843887075,P081,2025-08-04
PH082,9763782042,P082,2025-08-03
PH083,9830364454,P083,2025-03-26
PH084,9121432787,P084,2025-04-04
PH085,7791378577,P085,2025-10-26
PH086,9480138498,P086,2025-07-15
PH087,9949910061,P087,2025-10-14
PH088,9186320155,P088,2025-10-02
PH089,9737888820,P089,2025-11-07
PH090,9198641164,P090,2025-02-06
PH091,9433328859,P091,2025-09-03
PH092,9310359129,P092,2025-07-15
PH093,9949092160,P093,2025-01-08
PH094,9147945817,P094,2025-12-28
PH095,9919553585,P095,2025-11-08
PH096,9193893865,P096,2025-10-22
PH097,9467061186,P097,2025-02-18
PH098,9496924061,P098,2025-03-09
PH099,9319584466,P099,2025-01-06
PH100,9189865458,P100,2025-12-27
PH101,9168942178,P101,2025-02-15
PH102,9164023778,P102,2025-05-17
PH103,9968755000,P103,2025-02-20
PH104,9867985905,P104,2025-12-11
PH105,9113471527,P105,2025-02-08
PH106,9846173157,P106,2025-10-02
PH107,9373149551,P107,2025-09-21
PH108,9947333543,P108,2025-03-19
PH109,7795199362,P109,2025-08-03
PH110,9956702542,P110,2025-07-11
PH111,8899943797,P111,2025-02-28
PH112,9354265498,P112,2025-07-23
PH113,9948683937,P113,2025-11-13
PH114,9871045700,P114,2025-02-11
PH115,9153389073,P115,2025-02-25
PH116,7779067939,P116,2025-01-22
PH117,9965465150,P117,2025-01-07
PH118,8893568503,P118,2025-08-21
PH119,9916927215,P119,2025-04-09
PH120,9348658617,P120,2025-08-23
PH121,9926297533,P121,2025-01-21
PH122,9431257157,P122,2025-05-18
PH123,9884121929,P123,2025-07-03
PH124,9425228493,P124,2025-08-04
PH125,9376890827,P125,2025-12-10
PH-BURNER-01,9844091823,P001,2026-01-10
PH-BURNER-02,9844091824,P002,2026-01-12
PH-BURNER-03,9844091825,P003,2026-01-15
PH-BURNER-04,9731092841,P004,2026-02-01
PH-BURNER-05,9731092842,P005,2026-02-05
